category,material_tier,size,labor_hours,complexity_score,quality_score,market_saturation,hourly_wage,material_cost,price
Woodwork,Economy,Small,3.7,6.39,57.8,0.087,69.5,224.0,1121.0
Woodwork,Standard,Medium,6.3,6.53,57.4,0.426,68.9,460.0,1855.0
BambooCane,Standard,Small,12.1,3.81,59.1,0.32,89.0,120.7,2112.0
Woodwork,Economy,Large,17.5,7.77,77.4,0.765,144.9,512.0,5535.0
BambooCane,Standard,Small,6.5,0.98,100.0,0.847,88.8,120.7,914.0
Painting,Premium,Large,10.1,1.55,72.3,0.66,110.9,720.0,2555.0
Leatherwork,Premium,Medium,10.0,5.66,59.2,0.667,133.4,810.0,3757.0
Jewelry,Economy,Medium,9.4,8.23,55.4,0.694,100.4,480.0,2685.0
Jewelry,Economy,Medium,9.8,3.71,72.4,0.713,64.8,480.0,1617.0
BambooCane,Standard,Large,12.5,3.05,65.2,0.542,73.3,276.0,1676.0
Pottery,Economy,Small,1.9,3.96,71.1,0.688,78.3,67.2,352.0
Woodwork,Economy,Small,5.7,3.78,69.1,0.694,72.0,224.0,957.0
Pottery,Premium,Medium,6.3,4.99,57.7,0.311,136.0,216.0,1985.0
Painting,Economy,Medium,1.0,5.26,79.7,0.604,148.3,200.0,678.0
Pottery,Economy,Small,3.3,1.37,77.6,0.339,109.4,67.2,539.0
Pottery,Economy,Medium,3.3,4.43,100.0,0.303,132.6,96.0,1087.0
Leatherwork,Standard,Small,7.7,5.97,77.4,0.147,109.7,362.2,2852.0
BambooCane,Standard,Large,7.1,8.33,89.2,0.112,117.1,276.0,3003.0
BambooCane,Premium,Medium,16.1,1.49,100.0,0.318,88.2,270.0,2758.0
Painting,Standard,Small,9.0,3.9,71.3,0.218,74.6,201.2,1655.0
Textile,Economy,Large,6.8,4.49,76.2,0.499,107.3,448.0,1994.0
BambooCane,Standard,Large,6.9,1.65,67.2,0.089,148.1,276.0,1998.0
BambooCane,Economy,Small,9.7,1.71,85.0,0.548,96.7,84.0,1501.0
Woodwork,Premium,Large,12.1,4.61,81.8,0.682,109.2,1152.0,4246.0
Painting,Standard,Small,7.7,5.69,84.7,0.418,107.9,201.2,2492.0
Jewelry,Premium,Small,9.9,6.7,67.5,0.104,64.3,756.0,3468.0
Textile,Premium,Medium,19.6,2.07,77.3,0.835,126.4,630.0,3730.0
Textile,Premium,Medium,11.6,5.8,66.7,0.317,113.3,630.0,3579.0
Leatherwork,Economy,Small,12.5,6.66,85.6,0.437,81.5,252.0,2670.0
Pottery,Premium,Small,2.9,3.58,50.1,0.773,86.4,151.2,503.0
Metalware,Economy,Large,11.8,2.94,71.0,0.451,139.4,640.0,3315.0
Metalware,Standard,Medium,13.4,2.67,62.8,0.639,70.9,575.0,2346.0
Textile,Standard,Small,5.8,8.02,72.8,0.766,107.7,281.7,1558.0
Jewelry,Standard,Small,7.8,4.31,73.4,0.067,136.1,483.0,3075.0
Jewelry,Economy,Medium,20.2,1.09,94.4,0.635,107.3,480.0,3744.0
Pottery,Economy,Medium,4.1,5.49,90.2,0.267,92.8,96.0,1246.0
Metalware,Premium,Small,5.9,1.75,69.8,0.778,71.7,630.0,1256.0
Pottery,Economy,Large,11.9,3.38,78.7,0.933,108.8,153.6,2025.0
Jewelry,Economy,Large,10.7,6.22,74.6,0.647,130.4,768.0,3836.0
Jewelry,Premium,Medium,22.0,5.78,63.5,0.462,71.8,1080.0,4740.0
Textile,Standard,Medium,9.5,2.16,70.7,0.459,142.7,402.5,3037.0
Jewelry,Standard,Large,7.7,3.59,73.3,0.722,139.5,1104.0,3382.0
Painting,Economy,Medium,8.4,6.48,87.2,0.33,60.5,200.0,1433.0
BambooCane,Standard,Medium,11.2,6.01,71.6,0.387,132.7,172.5,3351.0
BambooCane,Standard,Small,11.4,6.51,55.5,0.885,84.0,120.7,1487.0
Painting,Economy,Medium,11.5,0.86,52.4,0.335,116.2,200.0,2034.0
Painting,Standard,Small,5.8,7.73,61.6,0.867,69.2,201.2,1069.0
Textile,Standard,Small,13.7,3.05,88.9,0.362,131.0,281.7,3741.0
Textile,Economy,Large,13.6,4.97,65.8,0.493,120.8,448.0,3402.0
Textile,Economy,Small,11.4,5.85,81.0,0.226,64.7,196.0,2016.0
Metalware,Standard,Medium,17.4,3.67,82.1,0.441,112.1,575.0,4392.0
Metalware,Economy,Medium,2.1,6.77,55.0,0.67,107.8,400.0,1051.0
Jewelry,Premium,Small,8.1,1.8,60.6,0.757,89.9,756.0,1700.0
Textile,Standard,Medium,3.3,1.19,72.8,0.499,87.3,402.5,950.0
Leatherwork,Economy,Medium,2.3,6.43,61.9,0.467,88.4,360.0,1093.0
Jewelry,Economy,Large,3.2,5.47,68.4,0.677,73.3,768.0,1521.0
Pottery,Economy,Medium,7.3,4.72,69.4,0.232,120.7,96.0,2086.0
Textile,Premium,Medium,6.1,7.57,78.9,0.325,77.1,630.0,2659.0
Leatherwork,Economy,Large,8.1,2.83,76.6,0.765,132.4,576.0,2528.0
Metalware,Economy,Small,10.5,5.12,64.7,0.564,149.4,280.0,2800.0
Metalware,Economy,Small,2.4,7.55,44.4,0.665,146.1,280.0,1105.0
Painting,Premium,Small,8.5,2.88,73.6,0.687,97.8,315.0,1632.0
Leatherwork,Standard,Small,17.9,7.8,50.9,0.493,64.3,362.2,2846.0
Woodwork,Standard,Medium,4.2,5.53,47.0,0.66,107.0,460.0,1282.0
Metalware,Standard,Large,4.0,4.23,94.2,0.586,90.3,920.0,2164.0
Leatherwork,Premium,Large,5.4,6.03,59.9,0.696,63.8,1296.0,2813.0
Woodwork,Standard,Small,2.7,3.78,53.9,0.55,64.7,322.0,784.0
Textile,Economy,Small,14.4,8.99,70.9,0.475,135.5,196.0,4823.0
Woodwork,Standard,Medium,10.4,4.82,56.4,0.414,120.9,460.0,2868.0
Woodwork,Economy,Large,14.4,3.34,75.9,0.645,91.8,512.0,2468.0
Textile,Premium,Medium,14.8,2.9,74.5,0.607,130.7,630.0,3956.0
Metalware,Economy,Small,5.8,2.29,73.2,0.653,98.0,280.0,1075.0
Jewelry,Standard,Medium,2.3,2.73,54.2,0.586,101.2,690.0,1174.0
Jewelry,Standard,Small,12.7,3.22,58.2,0.407,121.2,483.0,3082.0
Woodwork,Premium,Medium,7.8,6.57,81.7,0.427,67.6,720.0,2922.0
Textile,Standard,Small,19.4,1.53,91.4,0.351,126.5,281.7,4280.0
BambooCane,Premium,Medium,4.4,6.97,83.5,0.838,95.8,270.0,1243.0
Painting,Standard,Medium,4.8,2.62,100.0,0.687,100.9,287.5,1102.0
Woodwork,Premium,Medium,11.9,5.3,79.0,0.929,62.5,720.0,2499.0
Woodwork,Economy,Medium,20.0,1.54,56.4,0.436,87.9,320.0,2808.0
Leatherwork,Economy,Medium,2.3,3.87,80.5,0.835,141.3,360.0,946.0
Painting,Standard,Medium,9.9,2.75,81.1,0.219,122.5,287.5,2671.0
Textile,Standard,Large,6.6,1.7,95.6,0.327,70.7,644.0,1794.0
Pottery,Standard,Small,7.3,2.62,78.7,0.602,123.2,96.6,1504.0
Jewelry,Standard,Medium,3.2,3.66,77.3,0.437,129.6,690.0,1858.0
Leatherwork,Standard,Small,28.9,1.61,98.4,0.504,131.2,362.2,5982.0
Pottery,Standard,Medium,7.0,8.01,51.9,0.454,100.5,138.0,1816.0
Metalware,Premium,Medium,3.8,2.81,62.7,0.443,79.6,900.0,1799.0
Woodwork,Standard,Small,23.4,4.97,39.5,0.438,119.6,322.0,4471.0
Leatherwork,Premium,Medium,9.0,4.13,86.1,0.743,78.2,810.0,2230.0
Jewelry,Premium,Large,4.7,2.61,44.7,0.95,127.3,1728.0,2449.0
BambooCane,Economy,Medium,2.6,0.89,82.7,0.585,98.9,120.0,489.0
Textile,Standard,Small,13.5,2.99,79.1,0.808,120.0,281.7,2700.0
Textile,Standard,Small,6.3,4.29,56.7,0.266,88.2,281.7,1401.0
BambooCane,Economy,Small,3.9,8.34,49.1,0.658,72.5,84.0,742.0
Leatherwork,Premium,Large,21.1,2.73,80.2,0.356,121.0,1296.0,6928.0
Metalware,Standard,Small,7.2,5.9,52.2,0.612,100.8,402.5,2111.0
Painting,Standard,Medium,5.9,6.26,98.3,0.849,139.3,287.5,2020.0
BambooCane,Standard,Medium,10.4,3.5,74.9,0.508,115.7,172.5,2200.0
Metalware,Premium,Large,4.5,2.84,46.1,0.505,128.3,1440.0,2665.0
BambooCane,Economy,Small,6.1,5.38,52.5,0.484,84.4,84.0,1077.0
Painting,Economy,Medium,17.8,6.17,70.8,0.591,111.7,200.0,3275.0
Jewelry,Premium,Medium,8.9,1.95,66.7,0.332,70.5,1080.0,2553.0
Leatherwork,Standard,Medium,9.2,6.49,53.5,0.378,111.4,517.5,2644.0
Woodwork,Economy,Large,6.8,3.78,67.4,0.484,82.7,512.0,2111.0
Leatherwork,Economy,Small,25.0,3.2,40.7,0.255,86.2,252.0,3613.0
BambooCane,Premium,Medium,12.2,3.19,73.8,0.849,128.7,270.0,2501.0
Jewelry,Standard,Large,6.2,2.64,90.0,0.465,64.5,1104.0,2472.0
Textile,Standard,Large,13.1,3.9,85.0,0.653,92.9,644.0,3369.0
Jewelry,Standard,Medium,4.6,3.58,70.3,0.776,145.2,690.0,2099.0
Jewelry,Standard,Medium,6.8,8.36,80.7,0.235,136.5,690.0,4257.0
BambooCane,Economy,Large,8.1,1.62,47.3,0.309,112.0,192.0,1590.0
Jewelry,Economy,Small,14.7,4.22,86.3,0.505,125.7,336.0,4056.0
Woodwork,Premium,Small,11.4,0.73,51.5,0.759,91.0,504.0,1473.0
Leatherwork,Economy,Medium,21.4,3.17,61.3,0.593,80.4,360.0,3039.0
BambooCane,Economy,Medium,9.4,4.98,78.8,0.178,82.8,120.0,1634.0
Metalware,Standard,Small,14.2,2.46,76.2,0.417,72.6,402.5,2457.0
Leatherwork,Premium,Medium,1.9,2.89,78.7,0.6,119.1,810.0,1602.0
Painting,Premium,Small,10.4,6.22,53.6,0.735,146.6,315.0,2440.0
Jewelry,Economy,Medium,15.1,6.53,66.8,0.591,110.1,480.0,3939.0
Jewelry,Economy,Small,2.5,4.78,64.5,0.703,119.2,336.0,811.0
Painting,Standard,Large,1.7,1.89,90.3,0.909,84.5,460.0,767.0
Textile,Economy,Large,10.2,2.09,94.3,0.487,87.4,448.0,1975.0
Textile,Economy,Medium,5.0,2.34,66.9,0.525,69.0,280.0,821.0
Jewelry,Economy,Large,9.8,3.01,66.2,0.161,130.3,768.0,3833.0
Jewelry,Economy,Small,17.8,7.09,84.7,0.05,80.2,336.0,4531.0
BambooCane,Economy,Small,8.7,1.75,53.2,0.482,109.7,84.0,1292.0
Metalware,Standard,Small,5.3,4.48,95.5,0.621,140.6,402.5,2234.0
Woodwork,Economy,Small,13.0,6.06,73.7,0.279,149.1,224.0,4606.0
Leatherwork,Premium,Large,5.9,3.1,100.0,0.803,136.6,1296.0,3061.0
Painting,Economy,Medium,5.2,6.13,74.4,0.21,131.2,200.0,1998.0
Jewelry,Economy,Large,27.5,2.06,96.3,0.91,80.4,768.0,3800.0
Woodwork,Premium,Small,15.7,6.53,67.9,0.806,62.5,504.0,2687.0
BambooCane,Economy,Medium,10.6,1.43,74.8,0.789,114.1,120.0,1626.0
Painting,Premium,Large,8.7,6.47,85.1,0.427,67.4,720.0,2775.0
Jewelry,Standard,Small,11.0,7.68,60.6,0.401,60.0,483.0,2500.0
Leatherwork,Economy,Medium,16.5,4.95,35.9,0.427,140.2,360.0,3411.0
Metalware,Economy,Medium,6.2,1.04,75.2,0.163,105.0,400.0,1796.0
Painting,Economy,Medium,14.9,6.14,82.6,0.321,85.0,200.0,3399.0
BambooCane,Economy,Medium,15.5,7.11,100.0,0.343,132.9,120.0,4760.0
Jewelry,Economy,Large,5.0,5.32,74.6,0.262,143.8,768.0,2796.0
Woodwork,Premium,Small,14.6,4.5,73.2,0.473,70.4,504.0,2570.0
BambooCane,Premium,Small,17.9,9.15,54.1,0.513,107.3,189.0,4031.0
Woodwork,Economy,Medium,5.8,5.1,44.3,0.794,141.7,320.0,1534.0
Pottery,Economy,Large,14.4,7.72,75.9,0.199,142.4,153.6,4810.0
Leatherwork,Premium,Small,4.0,4.97,100.0,0.252,118.0,567.0,2278.0
Jewelry,Economy,Medium,7.3,5.73,60.5,0.512,61.3,480.0,1730.0
Jewelry,Premium,Medium,3.1,2.98,80.3,0.824,74.7,1080.0,1740.0
Leatherwork,Standard,Medium,5.6,3.13,72.7,0.519,130.0,517.5,1921.0
Pottery,Economy,Medium,6.1,4.81,68.7,0.149,121.6,96.0,1856.0
Pottery,Standard,Small,1.5,6.88,66.7,0.416,104.1,96.6,513.0
Metalware,Economy,Small,11.4,7.01,52.3,0.499,96.9,280.0,2410.0
Leatherwork,Economy,Medium,14.5,2.41,76.6,0.461,65.3,360.0,2314.0
Woodwork,Standard,Medium,5.5,4.63,56.2,0.216,111.3,460.0,2070.0
BambooCane,Economy,Medium,4.6,1.11,72.9,0.301,122.5,120.0,988.0
Textile,Standard,Small,4.1,4.52,58.6,0.921,140.7,281.7,1227.0
Woodwork,Economy,Medium,9.2,1.68,90.3,0.589,131.2,320.0,2072.0
Metalware,Standard,Medium,1.6,6.23,90.6,0.229,143.9,575.0,2120.0
BambooCane,Economy,Medium,13.9,7.18,82.1,0.11,60.1,120.0,2355.0
Metalware,Economy,Medium,3.0,1.83,74.8,0.493,95.4,400.0,1042.0
Metalware,Standard,Medium,4.6,2.46,53.3,0.621,134.3,575.0,1550.0
Leatherwork,Standard,Large,6.5,5.31,69.3,0.535,138.8,828.0,3258.0
Jewelry,Standard,Small,6.1,3.32,60.0,0.442,81.2,483.0,1505.0
Jewelry,Premium,Large,12.7,2.15,89.3,0.473,102.8,1728.0,4810.0
Textile,Premium,Medium,14.3,8.71,60.5,0.419,89.3,630.0,4068.0
Pottery,Standard,Small,5.5,3.18,78.4,0.792,99.7,96.6,819.0
Metalware,Economy,Small,5.1,2.37,69.9,0.253,84.9,280.0,1277.0
Leatherwork,Standard,Medium,13.2,1.17,81.3,0.727,142.4,517.5,3196.0
Leatherwork,Standard,Medium,11.8,1.51,70.7,0.697,142.6,517.5,2970.0
Painting,Economy,Small,15.8,2.89,100.0,0.24,148.8,140.0,4687.0
Textile,Premium,Medium,12.7,7.34,51.9,0.714,132.7,630.0,3242.0
Jewelry,Economy,Small,3.9,2.35,76.3,0.325,82.2,336.0,1070.0
Metalware,Standard,Small,9.1,2.41,72.8,0.612,123.1,402.5,2467.0
Pottery,Economy,Medium,11.7,6.63,73.5,0.415,145.8,96.0,3616.0
Metalware,Premium,Small,7.4,5.95,37.0,0.507,127.1,630.0,2561.0
Jewelry,Economy,Small,13.2,0.74,65.4,0.789,117.9,336.0,1971.0
BambooCane,Standard,Medium,12.6,8.91,64.2,0.282,111.8,172.5,3887.0
BambooCane,Economy,Medium,12.0,4.22,71.9,0.373,146.9,120.0,3356.0
BambooCane,Standard,Small,2.2,4.48,88.0,0.57,105.2,120.7,719.0
Woodwork,Economy,Small,20.1,6.49,76.5,0.512,128.6,224.0,5370.0
Jewelry,Standard,Large,14.4,3.0,66.5,0.284,115.7,1104.0,4010.0
Woodwork,Economy,Medium,2.9,6.88,70.6,0.926,123.7,320.0,1045.0
Pottery,Standard,Medium,2.4,3.94,78.3,0.371,137.0,138.0,914.0
Painting,Standard,Small,5.5,2.93,63.8,0.915,138.3,201.2,1171.0
Jewelry,Standard,Small,7.3,4.3,74.3,0.092,126.5,483.0,3125.0
Leatherwork,Premium,Medium,8.2,6.16,77.4,0.656,94.2,810.0,2991.0
Metalware,Economy,Small,8.4,4.41,63.8,0.147,83.2,280.0,1804.0
Woodwork,Economy,Medium,4.8,6.05,69.1,0.091,102.7,320.0,1928.0
Pottery,Economy,Medium,6.9,7.63,66.9,0.089,136.1,96.0,2689.0
Pottery,Economy,Medium,4.1,4.33,63.3,0.758,112.0,96.0,681.0
BambooCane,Standard,Large,12.5,2.86,90.0,0.702,75.3,276.0,1774.0
Woodwork,Premium,Small,13.1,5.05,53.5,0.242,146.7,504.0,4941.0
Pottery,Economy,Medium,2.4,3.47,74.0,0.432,136.0,96.0,764.0
BambooCane,Premium,Medium,3.5,7.99,69.8,0.531,148.6,270.0,1584.0
BambooCane,Economy,Large,6.6,1.8,33.7,0.713,76.8,192.0,746.0
Leatherwork,Premium,Medium,11.1,2.36,83.6,0.716,94.9,810.0,2449.0
Woodwork,Premium,Small,3.8,1.78,78.8,0.843,104.0,504.0,1194.0
Leatherwork,Standard,Medium,6.9,1.11,69.9,0.597,97.0,517.5,1495.0
BambooCane,Economy,Medium,8.0,1.43,39.4,0.486,86.5,120.0,1090.0
Painting,Premium,Medium,4.8,4.16,76.8,0.351,86.2,450.0,1765.0
Painting,Standard,Small,7.5,4.54,42.3,0.773,123.5,201.2,1423.0
Metalware,Economy,Medium,4.5,3.42,77.4,0.079,60.9,400.0,1396.0
Metalware,Standard,Large,9.4,5.35,86.6,0.586,123.8,920.0,4328.0
Jewelry,Economy,Small,9.8,0.95,69.6,0.57,83.2,336.0,1544.0
Leatherwork,Standard,Medium,10.2,3.35,69.8,0.443,136.7,517.5,3187.0
Jewelry,Economy,Large,1.5,6.65,74.5,0.785,72.6,768.0,1579.0
Metalware,Economy,Medium,9.1,4.09,48.4,0.742,122.1,400.0,1922.0
Woodwork,Economy,Medium,13.4,6.88,48.4,0.746,87.9,320.0,2323.0
Woodwork,Standard,Medium,24.5,4.6,36.1,0.562,121.8,460.0,4663.0
BambooCane,Economy,Small,16.0,8.12,57.2,0.148,93.0,84.0,3429.0
BambooCane,Premium,Large,2.8,1.34,59.8,0.615,76.5,432.0,841.0
Pottery,Economy,Medium,3.2,4.54,65.0,0.088,142.4,96.0,1020.0
Textile,Economy,Medium,8.7,0.5,77.8,0.581,71.2,280.0,1109.0
BambooCane,Standard,Small,8.8,3.59,80.9,0.444,118.2,120.7,2112.0
Painting,Premium,Small,8.0,6.15,69.0,0.95,142.0,315.0,1980.0
Woodwork,Standard,Small,7.1,4.02,88.8,0.508,117.5,322.0,2031.0
Jewelry,Standard,Medium,10.5,1.78,83.3,0.874,127.7,690.0,2597.0
Woodwork,Economy,Medium,11.0,7.05,34.5,0.114,147.5,320.0,3659.0
Painting,Premium,Medium,1.3,3.42,78.4,0.352,126.3,450.0,1137.0
Pottery,Economy,Medium,9.6,1.29,89.7,0.3,76.8,96.0,1326.0
Painting,Premium,Medium,5.8,1.99,45.3,0.575,135.5,450.0,1575.0
BambooCane,Standard,Medium,5.5,1.18,78.3,0.199,112.1,172.5,1406.0
Pottery,Standard,Large,11.0,4.99,64.9,0.376,79.6,220.8,1907.0
BambooCane,Standard,Large,5.9,5.25,82.1,0.382,100.3,276.0,1803.0
Pottery,Premium,Large,7.8,2.18,79.3,0.084,106.9,345.6,2254.0
Woodwork,Economy,Small,7.2,1.85,58.5,0.889,121.4,224.0,1068.0
Painting,Economy,Medium,12.4,5.25,71.8,0.554,84.8,200.0,2156.0
Textile,Standard,Large,18.0,0.86,60.4,0.463,84.1,644.0,2817.0
Painting,Economy,Small,12.1,1.06,84.3,0.56,81.3,140.0,1480.0
BambooCane,Standard,Medium,5.4,4.47,68.7,0.486,148.8,172.5,1610.0
Metalware,Economy,Medium,12.8,1.84,74.4,0.199,71.5,400.0,2077.0
Painting,Standard,Large,16.6,2.54,75.4,0.545,68.4,460.0,2278.0
